event_type,severity,frequency
Failed Login,9,28
Port Scan,1,7
Failed Login,3,52
Failed Login,6,16
Failed Login,2,22
Port Scan,3,25
Failed Login,1,18
Failed Login,4,7
Port Scan,5,25
Failed Login,7,15
Failed Login,8,15
Port Scan,8,14
Failed Login,6,37
Port Scan,4,6
Port Scan,4,20
Port Scan,4,73
Failed Login,4,22
Port Scan,2,1
Port Scan,1,42
Failed Login,2,28
Port Scan,7,6
Port Scan,8,15
Port Scan,9,14
Port Scan,6,59
Port Scan,9,9
Port Scan,4,3
Failed Login,7,18
Failed Login,4,11
Failed Login,4,11
Port Scan,9,18
Port Scan,7,0
Failed Login,5,1
Failed Login,1,14
Port Scan,5,6
Failed Login,6,16
Port Scan,5,17
Port Scan,3,77
Failed Login,6,49
Failed Login,6,10
Failed Login,2,14
Failed Login,1,6
Failed Login,4,16
Failed Login,3,21
Failed Login,9,10
Failed Login,8,58
Failed Login,2,29
Failed Login,4,1
Failed Login,9,12
Port Scan,1,13
Port Scan,5,26
Port Scan,2,6
Port Scan,9,70
Port Scan,4,12
Port Scan,5,4
Failed Login,7,8
Failed Login,8,24
Failed Login,1,15
Failed Login,6,7
Port Scan,5,125
Failed Login,4,1
Failed Login,3,16
Failed Login,9,0
Port Scan,2,18
Failed Login,9,11
Port Scan,5,17
Failed Login,3,4
Port Scan,2,3
Port Scan,4,15
Failed Login,4,3
Port Scan,3,5
Port Scan,7,17
Failed Login,6,2
Port Scan,9,14
Failed Login,9,4
Port Scan,2,1
Port Scan,5,9
Port Scan,9,3
Port Scan,7,3
Port Scan,3,16
Failed Login,4,6
Failed Login,1,20
Failed Login,6,14
Port Scan,6,16
Port Scan,4,5
Port Scan,4,13
Failed Login,1,5
Port Scan,3,1
Failed Login,8,15
Failed Login,1,19
Failed Login,9,7
Port Scan,9,1
Failed Login,9,3
Port Scan,9,16
Failed Login,5,17
Port Scan,9,9
Failed Login,8,18
Failed Login,1,3
Failed Login,7,17
Port Scan,3,6
Port Scan,6,76
Port Scan,2,2
Failed Login,7,12
Port Scan,1,42
Failed Login,4,8
Port Scan,1,16
Port Scan,4,7
Port Scan,9,0
Port Scan,7,0
Failed Login,6,9
Port Scan,2,4
Port Scan,8,15
Failed Login,7,9
Failed Login,4,15
Failed Login,8,8
Port Scan,5,1
Port Scan,4,0
Port Scan,8,10
Port Scan,7,2
Port Scan,4,3
Port Scan,3,2
Failed Login,4,10
Failed Login,7,16
Port Scan,4,1
Port Scan,8,12
Failed Login,8,3
Port Scan,1,15
Failed Login,6,9
Port Scan,8,54
Failed Login,8,0
Port Scan,4,20
Failed Login,8,1
Failed Login,3,3
Failed Login,1,0
Failed Login,4,8
Port Scan,6,6
Failed Login,2,22
Port Scan,8,2
Port Scan,5,26
Failed Login,3,5
Failed Login,7,9
Port Scan,8,44
Port Scan,7,13
Port Scan,9,0
Port Scan,4,11
Port Scan,2,6
Failed Login,2,18
Failed Login,2,69
Failed Login,5,76
Port Scan,2,2
Port Scan,7,25
Port Scan,8,3
Port Scan,1,20
Port Scan,7,39
Port Scan,3,27
Port Scan,5,10
Port Scan,1,8
Failed Login,1,2
Port Scan,7,15
Port Scan,9,10
Port Scan,3,9
Failed Login,6,47
Port Scan,8,48
Port Scan,7,22
Failed Login,2,10
Failed Login,7,32
Failed Login,4,23
Port Scan,7,4
Failed Login,8,55
Failed Login,4,0
Failed Login,8,2
Port Scan,2,24
Failed Login,2,24
Failed Login,5,11
Port Scan,3,30
Failed Login,2,7
Failed Login,5,0
Port Scan,1,29
Port Scan,5,11
Port Scan,1,10
Failed Login,9,27
Failed Login,3,8
Failed Login,6,3
Failed Login,9,8
Port Scan,4,29
Failed Login,7,16
Port Scan,3,45
Port Scan,2,6
Port Scan,3,25
Port Scan,3,23
Failed Login,9,24
Failed Login,5,22
Port Scan,7,30
Port Scan,4,6
Port Scan,4,13
Failed Login,9,6
Failed Login,3,4
Port Scan,1,7
Port Scan,4,2
Port Scan,7,0
Failed Login,4,1
Failed Login,5,12
Failed Login,2,3
Failed Login,1,61
Port Scan,2,85
Failed Login,1,12
Failed Login,5,21
Port Scan,3,9
Failed Login,1,25
Port Scan,9,4
Port Scan,8,5
Port Scan,2,9
Failed Login,4,6
Port Scan,7,6
Failed Login,7,0
Failed Login,5,59
Failed Login,1,12
Port Scan,6,3
Failed Login,2,7
Failed Login,8,62
Port Scan,9,0
Port Scan,1,4
Port Scan,9,11
Failed Login,2,51
Port Scan,1,3
Failed Login,4,6
Failed Login,8,0
Port Scan,8,17
Port Scan,2,14
Failed Login,3,5
Port Scan,1,15
Port Scan,3,7
Failed Login,7,22
Port Scan,8,29
Failed Login,2,17
Failed Login,6,3
Failed Login,3,14
Port Scan,7,20
Port Scan,4,57
Port Scan,2,0
Port Scan,6,5
Failed Login,3,1
Port Scan,1,3
Failed Login,6,37
Failed Login,1,40
Failed Login,9,12
Port Scan,8,21
Failed Login,6,11
Failed Login,6,14
Failed Login,3,8
Failed Login,5,1
Port Scan,4,13
Port Scan,8,60
Failed Login,8,9
Failed Login,2,7
Failed Login,3,68
Port Scan,3,3
Port Scan,5,12
Failed Login,5,10
Failed Login,3,27
Failed Login,9,48
Port Scan,5,15
Failed Login,9,7
Port Scan,7,8
Failed Login,8,5
Failed Login,2,139
Port Scan,1,2
Port Scan,6,10
Port Scan,7,0
Port Scan,5,24
Failed Login,2,35
Port Scan,3,5
Port Scan,6,5
Port Scan,4,23
Port Scan,9,21
Port Scan,7,0
Port Scan,3,50
Failed Login,2,1
Failed Login,8,3
Port Scan,2,3
Port Scan,2,2
Port Scan,8,2
Failed Login,5,0
Failed Login,6,23
Port Scan,5,13
Port Scan,8,7
Failed Login,7,13
Failed Login,9,38
Failed Login,9,5
Port Scan,7,15
Failed Login,8,34
Failed Login,5,69
Failed Login,3,39
Port Scan,7,30
Port Scan,6,3
Port Scan,5,60
Failed Login,2,1
Failed Login,5,4
Failed Login,6,1
Port Scan,9,0
Failed Login,4,16
Failed Login,8,35
Failed Login,3,6
Failed Login,7,0
Failed Login,7,29
Port Scan,1,11
Failed Login,9,2
Failed Login,4,31
Port Scan,7,4
Failed Login,5,10
Port Scan,1,40
Port Scan,3,19
Failed Login,9,5
Failed Login,6,18
Port Scan,9,3
Failed Login,8,12
Failed Login,9,18
Port Scan,4,0
Failed Login,2,1
Failed Login,3,8
Port Scan,7,56
Port Scan,4,35
Port Scan,2,25
Port Scan,8,25
Port Scan,3,3
Failed Login,1,28
Port Scan,2,0
Failed Login,4,8
Failed Login,8,13
Port Scan,1,34
Failed Login,4,4
Port Scan,2,46
Port Scan,6,5
Failed Login,3,15
Failed Login,7,31
Failed Login,4,4
Port Scan,4,4
Port Scan,7,2
Failed Login,3,26
Port Scan,5,1
Failed Login,3,9
Failed Login,5,4
Port Scan,8,5
Failed Login,2,2
Port Scan,6,11
Port Scan,6,12
Failed Login,5,27
