event_type,severity,frequency
Failed Login,2,12
System Log,1,46
Failed Login,1,123
Failed Login,1,79
Failed Login,1,98
System Log,1,64
Failed Login,2,70
Failed Login,1,113
Failed Login,2,17
System Log,2,40
Failed Login,1,15
Failed Login,1,263
Failed Login,2,173
Failed Login,1,2
System Log,1,73
Failed Login,2,155
System Log,2,11
System Log,1,50
System Log,2,148
Failed Login,1,2
System Log,1,71
Failed Login,1,21
System Log,2,154
System Log,2,212
System Log,2,173
System Log,2,38
System Log,2,118
System Log,1,111
System Log,1,23
System Log,1,105
Failed Login,1,2
Failed Login,2,54
System Log,1,15
System Log,2,7
System Log,1,4
Failed Login,2,71
System Log,2,24
Failed Login,1,77
Failed Login,1,4
Failed Login,1,22
Failed Login,1,46
Failed Login,2,93
System Log,1,23
System Log,1,58
System Log,2,130
System Log,1,57
System Log,1,15
Failed Login,1,1
System Log,1,122
System Log,1,1
Failed Login,2,124
System Log,1,45
Failed Login,1,167
System Log,1,96
Failed Login,1,370
System Log,1,25
System Log,2,87
Failed Login,1,30
Failed Login,2,39
Failed Login,2,59
Failed Login,1,124
Failed Login,1,248
Failed Login,1,87
Failed Login,1,32
Failed Login,2,32
System Log,1,80
System Log,1,16
Failed Login,1,7
System Log,1,26
System Log,1,20
System Log,1,21
System Log,2,15
Failed Login,2,2
System Log,1,1
Failed Login,1,263
System Log,1,33
System Log,2,29
System Log,1,68
Failed Login,2,14
System Log,1,179
Failed Login,1,92
System Log,1,5
Failed Login,1,32
System Log,2,126
Failed Login,2,173
Failed Login,1,37
System Log,1,57
Failed Login,2,10
System Log,2,283
System Log,2,15
System Log,2,171
System Log,1,62
System Log,2,56
System Log,1,43
System Log,2,15
System Log,2,11
System Log,2,14
System Log,2,12
System Log,2,90
Failed Login,1,25
Failed Login,1,3
System Log,2,208
System Log,2,129
System Log,1,157
System Log,2,316
System Log,2,11
System Log,1,30
System Log,2,85
System Log,2,71
Failed Login,1,10
System Log,1,101
Failed Login,1,15
System Log,2,15
System Log,1,46
Failed Login,1,53
System Log,1,52
Failed Login,1,5
System Log,1,125
System Log,1,18
Failed Login,2,8
System Log,2,131
Failed Login,1,186
System Log,1,118
Failed Login,1,99
Failed Login,2,63
System Log,2,48
System Log,2,5
Failed Login,2,31
System Log,2,27
System Log,2,18
System Log,2,77
Failed Login,2,41
Failed Login,2,5
Failed Login,1,14
Failed Login,1,68
Failed Login,1,4
Failed Login,1,114
Failed Login,2,41
Failed Login,2,39
Failed Login,1,53
System Log,2,104
Failed Login,1,25
System Log,2,67
System Log,1,50
System Log,2,18
Failed Login,2,126
Failed Login,1,95
Failed Login,2,64
Failed Login,1,114
System Log,1,121
Failed Login,1,73
Failed Login,1,108
Failed Login,2,71
Failed Login,2,68
Failed Login,2,57
System Log,1,83
Failed Login,2,10
System Log,1,127
Failed Login,2,123
System Log,2,1
Failed Login,2,104
Failed Login,1,8
System Log,2,24
System Log,2,81
System Log,1,10
Failed Login,2,102
System Log,1,107
Failed Login,2,42
Failed Login,1,0
System Log,1,20
System Log,2,57
Failed Login,1,238
Failed Login,1,59
System Log,1,18
System Log,1,60
System Log,1,46
Failed Login,1,90
Failed Login,2,6
Failed Login,1,85
Failed Login,1,46
Failed Login,2,197
Failed Login,2,25
System Log,2,60
Failed Login,2,161
Failed Login,2,6
Failed Login,2,166
System Log,2,69
Failed Login,1,4
Failed Login,1,21
System Log,2,73
Failed Login,1,4
Failed Login,1,52
Failed Login,1,25
Failed Login,2,58
Failed Login,2,2
System Log,1,123
System Log,2,217
System Log,1,208
Failed Login,1,83
Failed Login,1,8
Failed Login,1,85
System Log,2,1
Failed Login,2,1
Failed Login,2,23
System Log,1,40
Failed Login,2,88
System Log,1,68
System Log,2,35
System Log,1,19
Failed Login,1,351
Failed Login,1,33
Failed Login,2,36
Failed Login,2,10
Failed Login,2,95
Failed Login,2,70
Failed Login,1,14
System Log,2,5
Failed Login,2,68
System Log,1,63
Failed Login,1,19
Failed Login,1,180
Failed Login,2,9
System Log,1,33
System Log,1,172
System Log,1,32
System Log,2,61
Failed Login,1,30
System Log,2,19
Failed Login,2,248
Failed Login,1,31
System Log,1,134
System Log,2,15
System Log,1,14
System Log,1,1
System Log,2,63
System Log,2,27
System Log,1,119
System Log,2,38
Failed Login,1,206
System Log,1,12
System Log,1,121
Failed Login,2,89
System Log,1,88
Failed Login,1,111
Failed Login,1,85
System Log,2,59
Failed Login,2,8
Failed Login,2,1
Failed Login,2,152
Failed Login,2,57
System Log,1,95
Failed Login,2,39
System Log,2,7
Failed Login,2,8
Failed Login,1,69
Failed Login,2,33
Failed Login,2,13
System Log,1,40
System Log,2,3
Failed Login,1,52
Failed Login,1,18
System Log,1,95
Failed Login,1,22
Failed Login,1,36
Failed Login,2,0
System Log,1,4
System Log,1,29
System Log,2,39
Failed Login,1,54
Failed Login,2,20
System Log,2,71
System Log,2,118
System Log,1,90
System Log,1,2
Failed Login,1,39
System Log,2,6
Failed Login,1,16
System Log,1,259
Failed Login,1,9
System Log,2,41
System Log,2,57
System Log,1,72
System Log,1,49
Failed Login,1,0
System Log,1,23
Failed Login,2,43
Failed Login,2,5
Failed Login,2,25
Failed Login,2,2
System Log,1,4
Failed Login,1,30
Failed Login,1,8
Failed Login,2,50
System Log,1,70
System Log,2,96
System Log,2,13
System Log,1,10
Failed Login,1,6
Failed Login,1,60
System Log,2,73
Failed Login,1,1
Failed Login,2,165
Failed Login,1,3
System Log,2,46
System Log,2,74
Failed Login,1,122
System Log,2,75
System Log,2,97
System Log,1,24
System Log,2,101
System Log,1,5
Failed Login,2,135
System Log,1,47
Failed Login,1,101
Failed Login,2,36
System Log,2,61
Failed Login,2,44
Failed Login,2,78
Failed Login,2,5
System Log,1,3
System Log,2,17
Failed Login,1,10
System Log,1,123
System Log,2,14
System Log,1,223
System Log,1,24
Failed Login,1,12
Failed Login,1,93
System Log,2,64
System Log,1,41
Failed Login,2,48
Failed Login,2,76
System Log,1,15
Failed Login,2,336
System Log,2,220
System Log,2,63
Failed Login,1,13
Failed Login,2,68
System Log,2,4
System Log,2,1
Failed Login,1,17
System Log,2,37
Failed Login,1,121
System Log,1,77
Failed Login,1,81
Failed Login,1,33
Failed Login,1,25
System Log,1,27
System Log,2,263
Failed Login,1,2
System Log,2,121
Failed Login,2,51
Failed Login,1,34
System Log,2,77
System Log,2,40
Failed Login,2,124
System Log,2,138
System Log,1,32
Failed Login,2,19
Failed Login,1,53
System Log,2,146
Failed Login,2,14
Failed Login,1,58
System Log,2,59
Failed Login,2,79
Failed Login,2,8
System Log,1,75
System Log,2,143
Failed Login,1,11
Failed Login,2,16
System Log,1,213
System Log,1,11
System Log,2,115
System Log,2,40
Failed Login,1,17
System Log,1,122
System Log,2,35
Failed Login,1,43
System Log,2,26
Failed Login,2,53
System Log,2,10
System Log,2,29
System Log,1,209
Failed Login,2,17
Failed Login,1,64
System Log,2,23
Failed Login,1,89
Failed Login,2,8
Failed Login,1,210
Failed Login,1,36
Failed Login,2,16
Failed Login,2,4
System Log,2,11
System Log,2,44
Failed Login,1,24
System Log,2,105
System Log,1,33
System Log,1,17
System Log,2,57
Failed Login,1,73
System Log,1,10
System Log,1,11
Failed Login,1,2
Failed Login,2,79
System Log,2,65
System Log,2,38
System Log,2,111
System Log,1,98
System Log,1,52
System Log,2,121
Failed Login,2,13
System Log,2,7
System Log,1,18
Failed Login,2,3
Failed Login,2,45
Failed Login,2,165
Failed Login,1,2
System Log,1,7
System Log,1,36
System Log,1,162
System Log,1,22
System Log,1,42
System Log,1,2
Failed Login,1,9
System Log,2,258
Failed Login,2,201
Failed Login,1,0
System Log,1,181
Failed Login,2,61
System Log,1,121
Failed Login,1,36
System Log,1,43
Failed Login,2,40
System Log,2,65
System Log,2,9
System Log,2,1
System Log,2,22
System Log,1,73
Failed Login,2,13
Failed Login,1,67
