event_type,severity,frequency
Failed Login,3,9
Failed Login,9,15
Failed Login,9,21
System Log,2,7
Health Check,1,27
Health Check,7,31
Health Check,8,15
System Log,3,9
Port Scan,8,2
System Log,4,20
Port Scan,4,13
Failed Login,6,11
Failed Login,8,18
System Log,7,11
Health Check,1,9
System Log,4,6
System Log,4,51
Health Check,9,30
Health Check,5,2
System Log,7,67
Health Check,4,27
Port Scan,5,5
System Log,6,57
Port Scan,4,56
Failed Login,7,26
Port Scan,3,12
Port Scan,1,10
System Log,9,2
Port Scan,2,16
Health Check,5,19
System Log,9,22
System Log,1,20
Health Check,9,72
Failed Login,7,6
Health Check,7,2
System Log,4,1
Health Check,9,6
Health Check,5,6
Failed Login,1,16
Port Scan,5,15
Health Check,9,14
Port Scan,9,87
System Log,5,8
System Log,3,13
Port Scan,8,0
Port Scan,1,19
Failed Login,8,20
Port Scan,9,1
Failed Login,6,9
System Log,2,8
System Log,5,1
Failed Login,9,0
System Log,7,16
Failed Login,9,11
System Log,2,25
System Log,9,15
Health Check,3,83
Health Check,8,26
System Log,9,10
Health Check,6,10
Port Scan,9,6
Port Scan,2,6
Failed Login,5,11
Failed Login,9,4
Port Scan,2,38
Health Check,1,87
Port Scan,8,19
System Log,8,10
Health Check,9,18
Failed Login,7,14
System Log,3,11
Failed Login,1,36
Failed Login,6,24
Port Scan,9,11
Failed Login,4,39
Port Scan,5,5
System Log,4,16
System Log,7,59
Port Scan,1,19
System Log,9,23
Failed Login,9,25
Failed Login,4,2
Health Check,8,4
Health Check,1,24
Health Check,2,1
Port Scan,3,44
Health Check,3,9
System Log,4,1
Failed Login,9,8
Port Scan,3,25
Failed Login,5,30
Failed Login,3,0
Failed Login,1,14
System Log,5,3
Failed Login,1,66
Health Check,1,6
System Log,9,14
System Log,1,4
Port Scan,5,5
Failed Login,8,0
Port Scan,7,1
Health Check,5,7
Failed Login,7,44
Health Check,1,0
System Log,4,33
Failed Login,5,2
System Log,2,15
Port Scan,4,3
System Log,5,34
System Log,2,18
Health Check,5,10
Port Scan,9,48
Failed Login,3,39
Failed Login,2,9
System Log,8,1
Failed Login,5,2
System Log,2,1
System Log,9,14
Failed Login,8,16
Failed Login,5,9
Failed Login,5,5
Failed Login,5,0
Port Scan,5,24
Health Check,1,5
Failed Login,9,21
System Log,3,7
Health Check,8,17
Health Check,4,9
Port Scan,8,3
System Log,5,9
Port Scan,3,1
Port Scan,3,16
Failed Login,4,46
System Log,6,18
Health Check,5,5
Health Check,8,0
Health Check,6,1
Port Scan,5,10
Failed Login,3,28
Health Check,6,1
Health Check,3,18
Failed Login,8,26
Failed Login,2,24
Failed Login,8,31
Failed Login,7,111
Health Check,9,32
Health Check,9,26
Health Check,4,6
System Log,2,2
Failed Login,6,12
Failed Login,7,42
Port Scan,4,10
Failed Login,9,75
Health Check,6,9
Health Check,2,6
Health Check,5,32
Port Scan,3,19
Health Check,4,18
Health Check,8,24
Failed Login,8,37
System Log,9,2
Port Scan,2,16
Failed Login,2,30
Port Scan,6,11
Failed Login,7,6
Port Scan,7,14
Health Check,1,5
Health Check,2,25
Port Scan,7,102
Health Check,1,46
Health Check,7,0
Failed Login,5,5
Failed Login,9,23
Failed Login,6,26
Failed Login,7,1
Failed Login,8,33
System Log,7,6
Port Scan,5,1
Health Check,8,63
Failed Login,7,18
Health Check,7,10
Failed Login,8,20
Health Check,4,9
System Log,6,1
System Log,1,17
Failed Login,7,24
Port Scan,4,26
Port Scan,4,42
Port Scan,6,7
Health Check,6,15
System Log,6,14
Failed Login,4,35
Port Scan,8,15
System Log,5,0
System Log,1,2
Health Check,4,0
Failed Login,2,5
Port Scan,4,41
System Log,3,7
System Log,6,5
Port Scan,2,22
Port Scan,9,12
Health Check,7,11
Failed Login,1,7
System Log,1,46
Failed Login,8,4
System Log,6,12
Port Scan,2,6
Health Check,2,4
Failed Login,9,88
System Log,9,0
Port Scan,2,18
Port Scan,1,12
Health Check,9,8
System Log,4,2
System Log,4,8
System Log,1,1
System Log,7,7
System Log,4,35
Health Check,5,24
Failed Login,4,61
Port Scan,1,20
Health Check,1,4
Port Scan,2,4
System Log,7,17
Failed Login,4,0
System Log,7,4
Port Scan,2,1
System Log,5,6
Health Check,3,4
System Log,9,7
Failed Login,2,29
Health Check,4,22
Health Check,8,0
Failed Login,4,55
System Log,7,13
Port Scan,1,11
Health Check,4,0
Health Check,7,6
Failed Login,2,81
Port Scan,2,19
Health Check,1,1
Health Check,9,20
System Log,7,4
Health Check,6,6
System Log,6,16
Failed Login,9,8
Health Check,1,20
Port Scan,6,4
Health Check,7,8
Health Check,4,7
Failed Login,1,18
System Log,8,4
Health Check,1,25
Health Check,3,10
System Log,6,83
System Log,9,6
System Log,8,10
Failed Login,2,13
System Log,2,87
Failed Login,1,9
Failed Login,9,7
Port Scan,1,50
System Log,7,7
Health Check,7,5
System Log,6,15
