event_type,severity,frequency
Port Scan,9,0
Brute Force,8,2
Port Scan,8,6
Port Scan,8,3
Port Scan,8,4
Brute Force,8,3
Port Scan,9,3
Port Scan,8,5
Port Scan,9,0
Brute Force,9,2
Port Scan,8,0
Port Scan,8,13
Port Scan,9,8
Port Scan,8,0
Brute Force,8,3
Port Scan,9,7
Brute Force,9,0
Brute Force,8,2
Brute Force,9,7
Port Scan,8,0
Brute Force,8,3
Port Scan,8,1
Brute Force,9,7
Brute Force,9,10
Brute Force,9,8
Brute Force,9,1
Brute Force,9,5
Brute Force,8,5
Brute Force,8,1
Brute Force,8,5
Port Scan,8,0
Port Scan,9,2
Brute Force,8,0
Brute Force,9,0
Brute Force,8,0
Port Scan,9,3
Brute Force,9,1
Port Scan,8,3
Port Scan,8,0
Port Scan,8,1
Port Scan,8,2
Port Scan,9,4
Brute Force,8,1
Brute Force,8,2
Brute Force,9,6
Brute Force,8,2
Brute Force,8,0
Port Scan,8,0
Brute Force,8,6
Brute Force,8,0
Port Scan,9,6
Brute Force,8,2
Port Scan,8,8
Brute Force,8,4
Port Scan,8,18
Brute Force,8,1
Brute Force,9,4
Port Scan,8,1
Port Scan,9,1
Port Scan,9,2
Port Scan,8,6
Port Scan,8,12
Port Scan,8,4
Port Scan,8,1
Port Scan,9,1
Brute Force,8,4
Brute Force,8,0
Port Scan,8,0
Brute Force,8,1
Brute Force,8,1
Brute Force,8,1
Brute Force,9,0
Port Scan,9,0
Brute Force,8,0
Port Scan,8,13
Brute Force,8,1
Brute Force,9,1
Brute Force,8,3
Port Scan,9,0
Brute Force,8,8
Port Scan,8,4
Brute Force,8,0
Port Scan,8,1
Brute Force,9,6
Port Scan,9,8
Port Scan,8,1
Brute Force,8,2
Port Scan,9,0
Brute Force,9,14
Brute Force,9,0
Brute Force,9,8
Brute Force,8,3
Brute Force,9,2
Brute Force,8,2
Brute Force,9,0
Brute Force,9,0
Brute Force,9,0
Brute Force,9,0
Brute Force,9,4
Port Scan,8,1
Port Scan,8,0
Brute Force,9,10
Brute Force,9,6
Brute Force,8,7
Brute Force,9,15
Brute Force,9,0
Brute Force,8,1
Brute Force,9,4
Brute Force,9,3
Port Scan,8,0
Brute Force,8,5
Port Scan,8,0
Brute Force,9,0
Brute Force,8,2
Port Scan,8,2
Brute Force,8,2
Port Scan,8,0
Brute Force,8,6
Brute Force,8,0
Port Scan,9,0
Brute Force,9,6
Port Scan,8,9
Brute Force,8,5
Port Scan,8,4
Port Scan,9,3
Brute Force,9,2
Brute Force,9,0
Port Scan,9,1
Brute Force,9,1
Brute Force,9,0
Brute Force,9,3
Port Scan,9,2
Port Scan,9,0
Port Scan,8,0
Port Scan,8,3
Port Scan,8,0
Port Scan,8,5
Port Scan,9,2
Port Scan,9,1
Port Scan,8,2
Brute Force,9,5
Port Scan,8,1
Brute Force,9,3
Brute Force,8,2
Brute Force,9,0
Port Scan,9,6
Port Scan,8,4
Port Scan,9,3
Port Scan,8,5
Brute Force,8,6
Port Scan,8,3
Port Scan,8,5
Port Scan,9,3
Port Scan,9,3
Port Scan,9,2
Brute Force,8,4
Port Scan,9,0
Brute Force,8,6
Port Scan,9,6
Brute Force,9,0
Port Scan,9,5
Port Scan,8,0
Brute Force,9,1
Brute Force,9,4
Brute Force,8,0
Port Scan,9,5
Brute Force,8,5
Port Scan,9,2
Port Scan,8,0
Brute Force,8,1
Brute Force,9,2
Port Scan,8,11
Port Scan,8,2
Brute Force,8,0
Brute Force,8,3
Brute Force,8,2
Port Scan,8,4
Port Scan,9,0
Port Scan,8,4
Port Scan,8,2
Port Scan,9,9
Port Scan,9,1
Brute Force,9,3
Port Scan,9,8
Port Scan,9,0
Port Scan,9,8
Brute Force,9,3
Port Scan,8,0
Port Scan,8,1
Brute Force,9,3
Port Scan,8,0
Port Scan,8,2
Port Scan,8,1
Port Scan,9,2
Port Scan,9,0
Brute Force,8,6
Brute Force,9,10
Brute Force,8,10
Port Scan,8,4
Port Scan,8,0
Port Scan,8,4
Brute Force,9,0
Port Scan,9,0
Port Scan,9,1
Brute Force,8,2
Port Scan,9,4
Brute Force,8,3
Brute Force,9,1
Brute Force,8,0
Port Scan,8,17
Port Scan,8,1
Port Scan,9,1
Port Scan,9,0
Port Scan,9,4
Port Scan,9,3
Port Scan,8,0
Brute Force,9,0
Port Scan,9,3
Brute Force,8,3
Port Scan,8,0
Port Scan,8,9
Port Scan,9,0
Brute Force,8,1
Brute Force,8,8
Brute Force,8,1
Brute Force,9,3
Port Scan,8,1
Brute Force,9,0
Port Scan,9,12
Port Scan,8,1
Brute Force,8,6
Brute Force,9,0
Brute Force,8,0
Brute Force,8,0
Brute Force,9,3
Brute Force,9,1
Brute Force,8,5
Brute Force,9,1
Port Scan,8,10
Brute Force,8,0
Brute Force,8,6
Port Scan,9,4
Brute Force,8,4
Port Scan,8,5
Port Scan,8,4
Brute Force,9,2
Port Scan,9,0
Port Scan,9,0
Port Scan,9,7
Port Scan,9,2
Brute Force,8,4
Port Scan,9,1
Brute Force,9,0
Port Scan,9,0
Port Scan,8,3
Port Scan,9,1
Port Scan,9,0
Brute Force,8,2
Brute Force,9,0
Port Scan,8,2
Port Scan,8,0
Brute Force,8,4
Port Scan,8,1
Port Scan,8,1
Port Scan,9,0
Brute Force,8,0
Brute Force,8,1
